frame_idx,track_id,cls_id,conf,x1,y1,x2,y2
40,8,2,0.4390,902,1036,1340,1344
40,9,2,0.6562,2093,912,2432,1118
40,10,2,0.5999,616,216,893,342
40,11,2,0.4490,1974,509,2135,610
40,12,2,0.3706,560,70,818,201
40,13,2,0.3720,875,582,1219,761
40,14,2,0.3717,872,488,1165,627
40,15,2,0.3580,1769,469,2058,619
40,16,2,0.5080,2274,72,2482,180
40,17,2,0.3522,1286,7,1524,127
40,18,2,0.3795,1805,628,2118,782
40,19,2,0.4033,2002,750,2249,884
41,1,2,0.7734,1602,433,1901,593
41,2,2,0.3741,2360,1236,2558,1437
41,3,2,0.4089,2375,1248,2558,1437
41,5,2,0.7254,668,375,984,512
41,6,2,0.5389,981,1243,1472,1434
41,7,2,0.5220,1503,346,1749,468
41,8,2,0.4219,897,1054,1341,1369
41,9,2,0.6652,2100,929,2442,1132
41,10,2,0.6283,609,229,890,352
41,11,2,0.4490,1974,509,2135,610
41,12,2,0.3706,560,70,818,201
41,13,2,0.3657,816,659,1140,829
41,14,2,0.3717,872,488,1165,627
41,15,2,0.3580,1769,469,2058,619
41,16,2,0.4102,2277,75,2484,184
41,17,2,0.3522,1286,7,1524,127
41,18,2,0.3795,1805,628,2118,782
41,19,2,0.4033,2002,750,2249,884
42,1,2,0.7579,1603,442,1904,599
42,2,2,0.3741,2360,1236,2558,1437
42,3,2,0.4089,2375,1248,2558,1437
42,5,2,0.5746,668,378,980,514
42,6,2,0.5389,981,1243,1472,1434
42,7,2,0.4407,1499,358,1761,481
42,8,2,0.4467,894,1075,1338,1387
42,9,2,0.6176,2098,945,2452,1159
42,10,2,0.4620,603,238,885,355
42,11,2,0.4490,1974,509,2135,610
42,12,2,0.3706,560,70,818,201
42,13,2,0.3657,816,659,1140,829
42,14,2,0.3717,872,488,1165,627
42,15,2,0.3580,1769,469,2058,619
42,16,2,0.4321,2281,87,2492,188
42,17,2,0.3522,1286,7,1524,127
42,18,2,0.3795,1805,628,2118,782
42,19,2,0.4033,2002,750,2249,884
43,1,2,0.5798,1603,448,1909,610
43,2,2,0.3741,2360,1236,2558,1437
43,3,2,0.4089,2375,1248,2558,1437
43,5,2,0.7045,660,392,985,525
43,6,2,0.6225,890,1095,1337,1415
43,7,2,0.4109,1503,369,1760,491
43,8,2,0.4467,894,1075,1338,1387
43,9,2,0.6228,2109,957,2458,1172
43,10,2,0.4416,599,244,883,364
43,11,2,0.4490,1974,509,2135,610
43,12,2,0.3706,560,70,818,201
43,13,2,0.3657,816,659,1140,829
43,14,2,0.3717,872,488,1165,627
43,15,2,0.3580,1769,469,2058,619
43,16,2,0.4533,2284,90,2497,195
43,17,2,0.3522,1286,7,1524,127
43,18,2,0.3795,1805,628,2118,782
43,19,2,0.4033,2002,750,2249,884
44,1,2,0.6339,1604,461,1913,624
44,2,2,0.3741,2360,1236,2558,1437
44,3,2,0.4089,2375,1248,2558,1437
44,5,2,0.7826,661,401,976,531
44,6,2,0.6107,886,1115,1339,1430
44,7,2,0.3872,1504,372,1763,498
44,8,2,0.4467,894,1075,1338,1387
44,9,2,0.7646,2116,978,2466,1190
44,10,2,0.6401,596,250,878,373
44,12,2,0.3706,560,70,818,201
44,13,2,0.3657,816,659,1140,829
44,14,2,0.3717,872,488,1165,627
44,15,2,0.3580,1769,469,2058,619
44,16,2,0.6816,2290,96,2502,199
44,17,2,0.3522,1286,7,1524,127
44,18,2,0.4372,1815,677,2142,838
44,19,2,0.4033,2002,750,2249,884
44,20,2,0.4694,533,0,754,69
44,21,2,0.4480,2022,828,2305,1020
45,1,2,0.5396,1605,472,1916,633
45,2,2,0.3741,2360,1236,2558,1437
45,3,2,0.4089,2375,1248,2558,1437
45,5,2,0.7355,663,408,975,541
45,6,2,0.5114,885,1136,1339,1434
45,7,2,0.4781,1504,372,1763,504
45,8,2,0.4467,894,1075,1338,1387
45,9,2,0.7529,2116,992,2470,1214
45,10,2,0.4508,592,257,877,381
45,12,2,0.5165,543,101,806,237
45,13,2,0.3657,816,659,1140,829
45,14,2,0.3717,872,488,1165,627
45,15,2,0.3580,1769,469,2058,619
45,16,2,0.6780,2292,101,2506,206
45,17,2,0.3522,1286,7,1524,127
45,18,2,0.4211,1819,690,2145,861
45,19,2,0.4033,2002,750,2249,884
45,20,2,0.5308,527,0,753,74
45,21,2,0.7043,2033,842,2312,1033
46,1,2,0.6584,1605,479,1920,646
46,2,2,0.3741,2360,1236,2558,1437
46,3,2,0.4089,2375,1248,2558,1437
46,5,2,0.6244,649,416,972,556
46,6,2,0.4541,878,1157,1338,1437
